"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10","dataValue 11"
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra","Broadband",2009,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra",,2010,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra",,2011,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra",,2012,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,14,"AND","Andorra","Broadband",2016,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Fax",2001,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Dial-up or unspecified Internet access",2006,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Dial-up or unspecified Internet access",2007,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Dial-up or unspecified Internet access",2008,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Dial-up or unspecified Internet access",2009,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,16,"ARG","Argentina","Broadband",2010,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Dial-up or unspecified Internet access",2006,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Dial-up or unspecified Internet access",2007,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Dial-up or unspecified Internet access",2008,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2010,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2012,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2013,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2014,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2015,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2016,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2017,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2018,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2019,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2020,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2021,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2022,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,18,"SAU","Saudi Arabia","Broadband",2024,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,23,"AUS","Australia","Data transmission",2000,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,23,"AUS","Australia","Data transmission",2001,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,23,"AUS","Australia",,2006,"","","","Fax","Dial-up or unspecified Internet access",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,23,"AUS","Australia",,2007,"","","","Fax","Dial-up or unspecified Internet access",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,23,"AUS","Australia","Fax",2008,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,23,"AUS","Australia","Broadband",2015,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,23,"AUS","Australia","Broadband",2020,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,23,"AUS","Australia","Broadband",2021,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,23,"AUS","Australia","Broadband",2022,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,23,"AUS","Australia","Broadband",2024,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria",,2000,"","","","Data transmission","Fax",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria",,2001,"","","","Data transmission","Fax",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria",,2002,"","","","Data transmission","Fax",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Fax",2003,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria",,2004,"","","","Fax","Internet",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria",,2006,"","","","Fax","Dial-up or unspecified Internet access",,,,,,,,,
