"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10","dataValue 11","dataValue 12","dataValue 13","dataValue 14"
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,6,"AFG","Afghanistan","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,7,"ZAF","South Africa","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,10,"ALB","Albania","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,11,"DZA","Algeria","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,16,"ARG","Argentina","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,17,"ARM","Armenia","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,18,"SAU","Saudi Arabia","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,18,"SAU","Saudi Arabia","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,23,"AUS","Australia","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,25,"AZE","Azerbaijan","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,27,"BRA","Brazil","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,27,"BRA","Brazil","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,28,"BHS","Bahamas","No",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,30,"BEL","Belgium","No",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,31,"BEN","Benin","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,37,"BLR","Belarus","No",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,39,"BOL","Bolivia (Plurinational State of)","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,40,"BWA","Botswana","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,40,"BWA","Botswana","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,42,"MMR","Myanmar","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,43,"BRN","Brunei Darussalam","No",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,47,"CAN","Canada","No",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,50,"CHN","China","No",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,53,"COL","Colombia","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,53,"COL","Colombia","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,54,"LKA","Sri Lanka","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,54,"LKA","Sri Lanka","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,55,"CMR","Cameroon","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,57,"COG","Congo (Rep. of the)","No",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,57,"COG","Congo (Rep. of the)","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,62,"CRI","Costa Rica","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,62,"CRI","Costa Rica","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,63,"CUB","Cuba","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,67,"DEU","Germany","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,67,"DEU","Germany","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,72,"DOM","Dominican Rep.","No",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,72,"DOM","Dominican Rep.","Yes",2024,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,73,"ESP","Spain","Yes",2022,"","","",,,,,,,,,,,,,,
34452,"trCovid19_Policy","Regulatory response to the COVID-19 pandemic ",,,74,"EGY","Egypt","Yes",2022,"","","",,,,,,,,,,,,,,
