"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6"
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,28,"BHS","Bahamas","Other",2022,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,28,"BHS","Bahamas","Other",2023,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,29,"BDI","Burundi","Other",2020,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,29,"BDI","Burundi","Other",2021,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,29,"BDI","Burundi","Other",2022,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,29,"BDI","Burundi","Other",2023,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,29,"BDI","Burundi","Other",2024,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,30,"BEL","Belgium",,2019,"","","Advanced wholesale","LRAIC","LRIC+","Pure LRIC",,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,30,"BEL","Belgium",,2020,"","","Advanced wholesale","Other","Pure LRIC","LRAIC",,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,30,"BEL","Belgium",,2021,"","","Advanced wholesale","Pure LRIC","LRAIC","Other",,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,30,"BEL","Belgium",,2022,"","","Advanced wholesale","Stand Alone Costs (SAC)","LRIC+","Other",,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,30,"BEL","Belgium",,2023,"","","Advanced wholesale","Pure LRIC","LRIC+","LRAIC","Other",,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,30,"BEL","Belgium",,2024,"","","Advanced wholesale","Pure LRIC","LRAIC","LRIC+","Other",,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,31,"BEN","Benin","LRIC+",2019,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,31,"BEN","Benin","LRIC+",2020,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,31,"BEN","Benin","LRIC+",2021,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,31,"BEN","Benin","LRIC+",2022,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,31,"BEN","Benin","Stand Alone Costs (SAC)",2023,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,31,"BEN","Benin","Stand Alone Costs (SAC)",2024,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,33,"BFA","Burkina Faso","LRIC",2019,"","","Advanced wholesale",,,,,,
31606,"tpCost_Methodolgy_Adv_W","Advanced wholesale services",,,33,"BFA","Burkina Faso","LRIC",2020,"","","Advanced wholesale",,,,,,
