"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3"
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","No",2012,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","No",2013,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","Yes",2014,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","Yes",2015,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","Yes",2016,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","Yes",2017,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","Yes",2018,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","Yes",2019,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","Yes",2020,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","Yes",2021,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","Yes",2022,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,18,"SAU","Saudi Arabia","Yes",2024,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,20,"ATG","Antigua and Barbuda","No",2010,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,20,"ATG","Antigua and Barbuda","Yes",2011,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,20,"ATG","Antigua and Barbuda","Yes",2012,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,23,"AUS","Australia","Yes",2012,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,23,"AUS","Australia","Yes",2013,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,23,"AUS","Australia","Yes",2014,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,23,"AUS","Australia","Yes",2015,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,23,"AUS","Australia","Yes",2017,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,23,"AUS","Australia","Yes",2018,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,23,"AUS","Australia","Yes",2019,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,23,"AUS","Australia","Yes",2020,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,23,"AUS","Australia","Yes",2021,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,23,"AUS","Australia","No",2022,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,23,"AUS","Australia","Yes",2024,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,24,"AUT","Austria","Yes",2010,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,24,"AUT","Austria","Yes",2012,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,24,"AUT","Austria","Yes",2013,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,24,"AUT","Austria","No",2016,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,24,"AUT","Austria","No",2017,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,24,"AUT","Austria","No",2018,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,24,"AUT","Austria","No",2019,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,24,"AUT","Austria","No",2022,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,25,"AZE","Azerbaijan","Yes",2010,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,25,"AZE","Azerbaijan","No",2014,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,25,"AZE","Azerbaijan","No",2015,"","","",,,
