"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10"
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2017,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2018,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2019,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2020,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2021,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,11,"DZA","Algeria","Universal service funds",2022,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2007,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2008,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2009,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2010,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2011,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2012,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,14,"AND","Andorra","Cross-subsidy between own services (internal financing)",2016,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,16,"ARG","Argentina","Universal service funds",2001,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,16,"ARG","Argentina","Universal service funds",2006,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,16,"ARG","Argentina","Universal service funds",2007,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,16,"ARG","Argentina","Universal service funds",2008,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,16,"ARG","Argentina","Universal service funds",2009,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,16,"ARG","Argentina","Universal service funds",2010,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,17,"ARM","Armenia","Cross-subsidy between own services (internal financing)",2002,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,17,"ARM","Armenia","Cross-subsidy between own services (internal financing)",2003,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,17,"ARM","Armenia","Other",2013,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,17,"ARM","Armenia","Other",2014,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,17,"ARM","Armenia","Other",2015,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,17,"ARM","Armenia","Other",2016,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,17,"ARM","Armenia","Cross-subsidy between own services (internal financing)",2018,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,17,"ARM","Armenia","Cross-subsidy between own services (internal financing)",2019,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,17,"ARM","Armenia","Cross-subsidy between own services (internal financing)",2020,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,17,"ARM","Armenia","Cross-subsidy between own services (internal financing)",2021,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,17,"ARM","Armenia","Cross-subsidy between own services (internal financing)",2022,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia",,2002,"","","","Universal service funds","Cross-subsidy between own services (internal financing)","Direct subsidy from government",,,,,,,
