seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription,dataValue 1,dataValue 2,dataValue 3,dataValue 4,dataValue 5,dataValue 6,dataValue 7,dataValue 8,dataValue 9,dataValue 10,dataValue 11,source_file,dataValue 12,dataValue 13,dataValue 14
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,34,BGD,Bangladesh,,2012,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,34,BGD,Bangladesh,,2013,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,34,BGD,Bangladesh,,2015,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,34,BGD,Bangladesh,,2018,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,34,BGD,Bangladesh,,2020,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,34,BGD,Bangladesh,,2021,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,34,BGD,Bangladesh,,2022,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2006,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2007,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2008,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2009,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2010,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2011,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2012,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2013,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2015,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2017,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2018,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,42,MMR,Myanmar,,2019,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
